Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Conventional lime (commercial), short distance, avoided product Aggregate",Conventional lime (commercial),0,50,0,Aggregate,78.56918483,18608.8944,3.699405342,18602.18537,3.009624566,69220.93388,66289.98343,2930.950444,176429.2669,0.141397887,11.72072146,127.6209069,9.10E-06,3.36E-06,5.73E-06,0.000109227,0.000104404,4.82E-06,204.9859652,15613.41031,0.000229103,0.037113775,0.000810324,59.84677181,927.1482955,4735.897764
"Conventional lime (commercial), short distance, avoided product Filler",Conventional lime (commercial),0,50,0,Filler,26.90815655,8382.543254,-6.244426476,8390.925459,-2.137779359,34169.72547,32436.07213,1733.653341,31154.77518,-0.09465153,2.207841068,18.73868262,-6.01E-07,-4.26E-06,3.66E-06,-8.20971E-05,-7.69322E-05,-5.16E-06,-42.42358529,295.4460336,-0.000115188,-0.180090751,0.000427945,15.36237901,-2341.589641,4735.897764
"Conventional lime (commercial), short distance, building savings considered",Conventional lime (commercial),0,50,1,None,-21.79961517,-22919.00075,-3.416125459,-22912.45205,-3.132575721,24127.92187,25674.31797,-1546.396099,-410581.8143,-0.40307738,-5.640214102,-65.39622671,-1.78E-06,-1.19E-06,-5.86E-07,-3.86E-05,-3.44E-05,-4.17E-06,-761.3226678,-25207.04071,-0.000486139,-0.003605749,0.000498494,-29.60362586,-1867.82386,-14579.35506
"Conventional lime (commercial), short distance, building savings considered, avoided product SCM",Conventional lime (commercial),0,50,1,SCM,-73.09502698,-48544.28997,-6.328299736,-48532.61801,-5.343666949,-33970.5891,-30825.59743,-3144.991673,-502638.872,-0.652631704,-20.71532369,-240.8669749,-6.15E-06,-4.04E-06,-2.10E-06,-1.99E-04,-1.93E-04,-5.93E-06,-904.9890783,-41358.12179,-0.000543852,-0.110611337,0.000185712,-77.57006292,-3578.806552,-15664.20354
"Conventional lime (commercial), short distance, building savings considered, avoided product Aggregate",Conventional lime (commercial),0,50,1,Aggregate,-24.19993268,-23264.2805,-3.652697235,-23257.24936,-3.378448625,21855.79086,23494.16111,-1638.370253,-415242.2305,-0.408565383,-6.464876085,-74.4714448,-2.04E-06,-1.31E-06,-7.36E-07,-4.18E-05,-3.74E-05,-4.45E-06,-765.2939206,-47798.96146,-0.000491056,-0.004982392,0.000456557,-32.46051617,-1952.483838,-14986.17324
"Conventional lime (commercial), short distance, building savings considered, avoided product Filler",Conventional lime (commercial),0,50,1,Filler,-75.86096096,-33490.63165,-13.59652905,-33468.50927,-8.52585255,-13195.41755,-10359.7502,-2835.667356,-560516.7222,-0.6446148,-15.97775647,-183.353669,-1.17E-05,-8.93E-06,-2.81E-06,-2.33E-04,-2.19E-04,-1.44E-05,-1012.703471,-63116.92574,-0.000835348,-0.222186918,7.41784E-05,-76.94490898,-5221.221775,-14986.17324
"Conventional lime (commercial), optimised transport",Conventional lime (commercial),1,200,0,None,69.09035196,17087.10333,2.446232993,17082.87168,1.785426237,59139.2446,56599.71539,2539.529212,156854.6209,0.116422353,8.483187166,92.07324007,5.20E-06,2.70E-06,2.50E-06,9.13E-05,8.75E-05,3.83E-06,185.39721,40098.59686,0.000205977,0.017157927,0.000666295,47.2880225,823.4933412,5895.809967
"Conventional lime (commercial), optimised transport, avoided product SCM",Conventional lime (commercial),1,200,0,SCM,17.79494015,-8538.185885,-0.465941284,-8537.294279,-0.425664991,1040.733622,99.79998322,940.9336385,64797.56313,-0.133131971,-6.591922426,-83.39750811,8.34E-07,-1.54E-07,9.88E-07,-6.90E-05,-7.11E-05,2.08E-06,41.73079946,23947.51578,0.000148264,-0.089847661,0.000353513,-0.678414559,-887.4893505,4810.961482
"Conventional lime (commercial), optimised transport, avoided product Aggregate",Conventional lime (commercial),1,200,0,Aggregate,66.69003444,16741.82358,2.209661216,16738.07437,1.539553333,56867.11358,54419.55852,2447.555058,152194.2047,0.110934351,7.658525182,82.99802198,4.94E-06,2.58E-06,2.35E-06,8.80E-05,8.45E-05,3.55E-06,181.4259572,17506.67611,0.00020106,0.015781284,0.000624359,44.43113219,738.833363,5488.991785
"Conventional lime (commercial), optimised transport, avoided product Filler",Conventional lime (commercial),1,200,0,Filler,15.02900617,6515.472435,-7.734170602,6526.814456,-3.607850592,21815.90517,20565.64722,1250.257955,6919.712941,-0.125115067,-1.854355205,-25.88420226,-4.76E-06,-5.04E-06,2.78E-07,-1.03E-04,-9.69E-05,-6.43E-06,-65.98359337,2188.711834,-0.000143232,-0.201423242,0.00024198,-0.053260616,-2529.904574,5488.991785
