Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Conventional lime (commercial), optimised transport, building savings considered",Conventional lime (commercial),1,200,1,None,13.38367613,-20268.03356,-137.7200109,-20098.60773,-19.26970548,23069.29142,24927.97479,-1754.036901,-397410.9528,-1.588288909,-3.056080573,-41.50520297,-3.46E-06,-1.94E-06,-1.52E-06,-5.92E-05,-5.50E-05,-4.28E-06,-595.0706323,575.149446,-0.000392127,-0.026890196,0.000407472,-19.02304724,-2071.299375,-16129.29124
"Conventional lime (commercial), optimised transport, building savings considered, avoided product SCM",Conventional lime (commercial),1,200,1,SCM,-38.14723223,-45799.1589,-143.3009642,-45621.04095,-22.38087633,-6094.204878,-2978.288416,-3011.269997,-492003.1804,-1.868439718,-18.33482921,-218.747288,-7.20E-06,-4.10E-06,-3.09E-06,-0.000214679,-0.000208274,-6.50E-06,-785.1977588,-15964.57467,-0.000485371,-0.037060154,0.000108433,-68.23781087,-4004.010815,-16671.71548
"Conventional lime (commercial), optimised transport, building savings considered, avoided product Aggregate",Conventional lime (commercial),1,200,1,Aggregate,12.48126508,-20411.50463,-137.9851517,-20241.73963,-19.34374179,22078.8349,23983.76199,-1800.28063,-399593.8869,-1.590059734,-3.40337861,-45.40156575,-3.59E-06,-2.01E-06,-1.58E-06,-6.09E-05,-5.66E-05,-4.45E-06,-602.3547504,-2085.321187,-0.000394952,-0.027725605,0.000386513,-20.24582124,-2123.408876,-16671.71548
"Conventional lime (commercial), optimised transport, building savings considered, avoided product Filler",Conventional lime (commercial),1,200,1,Filler,-40.67766967,-30839.66446,-147.9004145,-30654.66495,-24.66298231,-14254.048,-11106.09338,-3043.308158,-547345.8608,-1.829826329,-13.39362294,-159.4626453,-1.34E-05,-9.67E-06,-3.75E-06,-0.000253804,-0.00023935,-1.45E-05,-846.4514357,-37334.73558,-0.000741335,-0.245471366,-1.68E-05,-66.36433036,-5424.69729,-16671.71548
"Conventional lime (commercial), optimised transport, short distance",Conventional lime (commercial),1,50,0,None,56.58408669,15148.40862,28.5606451,15128.10217,4.181917674,47538.0285,45487.50467,2155.170288,132522.9957,0.338731162,6.312727678,69.47743912,4.23921E-06,2.45538E-06,1.7857E-06,7.94351E-05,7.63168E-05,3.02485E-06,144.9969951,18070.14648,0.000163954,0.013736327,0.000533429,37.60003598,757.7063376,3834.987268
"Conventional lime (commercial), optimised transport, short distance, avoided product SCM",Conventional lime (commercial),1,50,0,SCM,5.05317833,-10382.71672,22.97969174,-10394.33105,1.07074683,18374.53219,17581.24147,897.9371916,37930.7681,0.058580353,-8.966020963,-107.764646,5.05445E-07,2.9082E-07,2.16494E-07,-7.60E-05,-7.69E-05,8.05982E-07,-45.13013129,1530.422365,7.071E-05,0.00356637,0.000234391,-11.61472765,-1175.005102,3292.563026
"Conventional lime (commercial), optimised transport, short distance, avoided product Aggregate",Conventional lime (commercial),1,50,0,Aggregate,55.68167564,15004.93755,28.29550432,14984.97027,4.107881369,46547.57197,44543.29187,2108.926559,130340.0617,0.336960337,5.96542964,65.58107633,4.10871E-06,2.38718E-06,1.7234E-06,7.77424E-05,7.47943E-05,2.8547E-06,137.7128771,15409.67585,0.000161129,0.012900919,0.000512471,36.37726199,705.5968375,3292.563026
"Conventional lime (commercial), optimised transport, short distance, avoided product Filler",Conventional lime (commercial),1,50,0,Filler,2.522740895,4576.777722,18.3802415,4572.044951,-1.211359155,10214.68907,9453.436504,865.8990309,-17411.91224,0.097193742,-4.024814693,-48.48000322,-5.72E-06,-5.28E-06,-4.40E-07,-0.000115155,-0.000108005,-7.24E-06,-106.3838082,-19839.73854,-0.000185254,-0.204844842,0.000109114,-9.741247133,-2595.691577,3292.563026
"Conventional lime (commercial), optimised transport, short distance, building savings considered",Conventional lime (commercial),1,50,1,None,10.29624713,-21395.85781,-138.0404881,-21225.53308,-19.8481292,14099.34143,16292.48581,-2088.497915,-414552.7216,-1.599181779,-3.855497069,-49.90957565,-3.99E-06,-2.21E-06,-1.78E-06,-7.16E-05,-6.68E-05,-4.88E-06,-601.469498,-16647.98854,-0.000411263,-0.030127094,0.000296524,-23.47039082,-2157.227591,-17357.98601
"Conventional lime (commercial), optimised transport, short distance, building savings considered, avoided product SCM",Conventional lime (commercial),1,50,1,SCM,-41.23466124,-46926.98315,-143.6214415,-46747.9663,-22.95930005,-15064.15488,-11613.7774,-3345.731012,-509144.9492,-1.879332588,-19.13424571,-227.1516607,-7.72E-06,-4.37E-06,-3.35E-06,-0.000227076,-0.000220075,-7.09E-06,-791.5966244,-33187.71265,-0.000504507,-0.040297051,-2.51E-06,-72.68515445,-4089.93903,-17900.41025
