Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"MgO - Renewable, building savings considered, avoided product Aggregate",MgO - Renewable,0,200,1,Aggregate,13.12642746,-22254.16389,-10.14407564,-22245.942,1.922177146,283500.5814,268933.628,14566.95343,-451097.5158,-0.407049637,7.187657684,80.85899958,4.42297E-05,3.97221E-05,4.50766E-06,0.000674021,0.000674439,-4.18078E-07,-2789.367824,28582.63147,-0.000309292,0.044141823,0.003298067,5.500782987,-1086.93387,-29278.10827
"MgO - Renewable, building savings considered, avoided product Filler",MgO - Renewable,0,200,1,Filler,16.54220628,-21762.81254,-9.807421486,-21755.27719,2.272067297,286733.944,272036.1065,14697.83752,-444465.497,-0.399239919,8.361195319,93.77351508,4.46071E-05,3.98856E-05,4.72153E-06,0.000678668,0.000678688,-1.92292E-08,-2783.716521,60732.13,-0.000302295,0.04610086,0.003357745,9.566289054,-966.4582418,-28699.18447
"MgO - Renewable, short distance",MgO - Renewable,0,50,0,None,50.32349122,9277.793274,2.784979764,9272.065334,2.942960502,273850.7439,256796.1148,17054.62909,84920.03535,0.222520031,9.958319061,115.0596408,4.51455E-05,4.15932E-05,3.55229E-06,0.000734463,0.000730374,4.08954E-06,53.62894072,41943.39462,0.000108484,0.03886857,0.002984742,39.68394732,1325.809663,5781.046622
"MgO - Renewable, short distance, avoided product SCM",MgO - Renewable,0,50,0,SCM,-22.67259375,-27188.34908,-1.35919831,-27186.78634,-0.203539301,191173.4889,176393.7459,14779.74301,-46082.0284,-0.132608975,-11.49435949,-134.6445177,3.89318E-05,3.7537E-05,1.39485E-06,0.000506296,0.000504707,1.58831E-06,-150.8159626,18959.55172,2.6356E-05,-0.113406043,0.002539637,-28.57483044,-1109.009232,5202.122825
"MgO - Renewable, short distance, avoided product Aggregate",MgO - Renewable,0,50,0,Aggregate,46.9077124,8786.441921,2.448325609,8781.400525,2.593070351,270617.3812,253693.6362,16923.74501,78288.01655,0.214710313,8.784781426,102.1451253,4.47681E-05,4.14297E-05,3.33841E-06,0.000729816,0.000726125,3.69069E-06,47.97763782,9793.896091,0.000101487,0.036909534,0.002925064,35.61844125,1205.334035,5202.122825
"MgO - Renewable, short distance, avoided product Filler",MgO - Renewable,0,50,0,Filler,50.32349122,9277.793274,2.784979764,9272.065334,2.942960502,273850.7439,256796.1148,17054.62909,84920.03535,0.222520031,9.958319061,115.0596408,4.51455E-05,4.15932E-05,3.55229E-06,0.000734463,0.000730374,4.08954E-06,53.62894072,41943.39462,0.000108484,0.03886857,0.002984742,39.68394732,1325.809663,5781.046622
"MgO - Renewable, short distance, building savings considered",MgO - Renewable,0,50,1,None,-12.80645485,-28185.20279,-13.30011255,-28169.98983,-1.912849789,239993.6005,227078.1352,12915.46527,-534876.828,-0.482882272,-0.952911672,-7.479034678,3.58942E-05,3.77625E-05,-1.86834E-06,0.000606905,0.000610808,-3.9032E-06,-2842.699931,15519.97117,-0.000404945,-0.000104896,0.002721962,-29.76093052,-1535.865784,-30850.0665
"MgO - Renewable, short distance, building savings considered, avoided product SCM",MgO - Renewable,0,50,1,SCM,-85.80253982,-64651.34514,-17.44429063,-64628.8415,-5.059349592,157316.3455,146675.7663,10640.57919,-665878.8918,-0.838011278,-22.40559022,-257.1831932,2.96805E-05,3.37063E-05,-4.02577E-06,0.000378737,0.000385142,-6.40444E-06,-3047.144834,-7463.87173,-0.000487073,-0.152379509,0.002276857,-98.01970828,-3970.68468,-31428.9903
"MgO - Renewable, short distance, building savings considered, avoided product Aggregate",MgO - Renewable,0,50,1,Aggregate,-16.22223367,-28676.55414,-13.63676671,-28660.65464,-2.26273994,236760.2378,223975.6567,12784.58118,-541508.8468,-0.49069199,-2.126449306,-20.39355017,3.55168E-05,3.7599E-05,-2.08221E-06,0.000602257,0.000606559,-4.30205E-06,-2848.351234,-16629.52736,-0.000411942,-0.002063932,0.002662285,-33.82643659,-1656.341413,-31428.9903
"MgO - Renewable, short distance, building savings considered, avoided product Filler",MgO - Renewable,0,50,1,Filler,-12.80645485,-28185.20279,-13.30011255,-28169.98983,-1.912849789,239993.6005,227078.1352,12915.46527,-534876.828,-0.482882272,-0.952911672,-7.479034678,3.58942E-05,3.77625E-05,-1.86834E-06,0.000606905,0.000610808,-3.9032E-06,-2842.699931,15519.97117,-0.000404945,-0.000104896,0.002721962,-29.76093052,-1535.865784,-30850.0665
"MgO - Renewable, optimised transport",MgO - Renewable,1,200,0,None,44.97639339,8757.370832,2.08118733,8752.91062,2.379024478,271157.9889,254216.955,16941.03381,79410.94815,0.210289315,8.002159116,93.38357081,4.29962E-05,4.1276E-05,1.72023E-06,0.000728353,0.000724702,3.65103E-06,43.16122004,51617.60344,0.000101762,0.028117186,0.002932216,32.96448784,1259.462442,6829.383544
"MgO - Renewable, optimised transport, avoided product SCM",MgO - Renewable,1,200,0,SCM,-28.01969158,-27708.77152,-2.062990744,-27705.94105,-0.767475326,188480.7338,173814.5861,14666.14773,-51591.1156,-0.144839692,-13.45051943,-156.3205877,3.67825E-05,3.72197E-05,-4.3721E-07,0.000500185,0.000499035,1.14979E-06,-161.2836833,28633.76054,1.96332E-05,-0.124157428,0.00248711,-35.29428992,-1175.356454,6250.459747
"MgO - Renewable, optimised transport, avoided product Aggregate",MgO - Renewable,1,200,0,Aggregate,41.56061457,8266.019479,1.744533175,8262.245811,2.029134326,267924.6262,251114.4765,16810.14973,72778.92935,0.202479596,6.828621482,80.46905532,4.26188E-05,4.11125E-05,1.50635E-06,0.000723705,0.000720453,3.25218E-06,37.50991715,19468.10491,9.47643E-05,0.02615815,0.002872538,28.89898177,1138.986814,6250.459747
"MgO - Renewable, optimised transport, avoided product Filler",MgO - Renewable,1,200,0,Filler,44.97639339,8757.370832,2.08118733,8752.91062,2.379024478,271157.9889,254216.955,16941.03381,79410.94815,0.210289315,8.002159116,93.38357081,4.29962E-05,4.1276E-05,1.72023E-06,0.000728353,0.000724702,3.65103E-06,43.16122004,51617.60344,0.000101762,0.028117186,0.002932216,32.96448784,1259.462442,6829.383544
"MgO - Renewable, optimised transport, building savings considered",MgO - Renewable,1,200,1,None,-18.15355268,-28705.62523,-14.00390499,-28689.14454,-2.476785813,237300.8455,224498.9755,12801.86999,-540385.9152,-0.495112989,-2.909071616,-29.15510468,3.37449E-05,3.74453E-05,-3.7004E-06,0.000600794,0.000605136,-4.34171E-06,-2853.167652,25194.17999,-0.000411668,-0.01085628,0.002669436,-36.48039,-1602.213006,-29801.72958
"MgO - Renewable, optimised transport, building savings considered, avoided product SCM",MgO - Renewable,1,200,1,SCM,-91.14963765,-65171.76758,-18.14808306,-65147.99621,-5.623285616,154623.5905,144096.6065,10526.98391,-671387.979,-0.850241995,-24.36175016,-278.8592632,2.75312E-05,3.33891E-05,-5.85783E-06,0.000372627,0.00037947,-6.84295E-06,-3057.612555,2210.337091,-0.000493796,-0.163130894,0.002224331,-104.7391678,-4037.031902,-30380.65338
"MgO - Renewable, optimised transport, building savings considered, avoided product Aggregate",MgO - Renewable,1,200,1,Aggregate,-21.5693315,-29196.97659,-14.34055914,-29179.80935,-2.826675964,234067.4828,221396.4969,12670.9859,-547017.934,-0.502922707,-4.08260925,-42.06962018,3.33675E-05,3.72818E-05,-3.91427E-06,0.000596147,0.000600887,-4.74056E-06,-2858.818955,-6955.318541,-0.000418665,-0.012815316,0.002609758,-40.54589606,-1722.688634,-30380.65338
"MgO - Renewable, optimised transport, building savings considered, avoided product Filler",MgO - Renewable,1,200,1,Filler,-18.15355268,-28705.62523,-14.00390499,-28689.14454,-2.476785813,237300.8455,224498.9755,12801.86999,-540385.9152,-0.495112989,-2.909071616,-29.15510468,3.37449E-05,3.74453E-05,-3.7004E-06,0.000600794,0.000605136,-4.34171E-06,-2853.167652,25194.17999,-0.000411668,-0.01085628,0.002669436,-36.48039,-1602.213006,-29801.72958
"MgO - Renewable, optimised transport, short distance",MgO - Renewable,1,50,0,None,41.64955148,7542.090101,1.735858889,7538.598495,1.755747224,261492.4692,244911.832,16580.63721,60939.93078,0.198551764,7.140752327,84.32748588,4.24299E-05,4.09831E-05,1.44681E-06,0.000714995,0.000711986,3.00892E-06,36.26615805,33058.90712,8.11412E-05,0.024629285,0.002812665,28.17227755,1166.870972,5505.410344
"MgO - Renewable, optimised transport, short distance, avoided product SCM",MgO - Renewable,1,50,0,SCM,-31.34653349,-28924.05225,-2.408319185,-28920.25318,-1.390752579,178815.2142,164509.4631,14305.75113,-70062.13297,-0.156577243,-14.31192622,-165.3766726,3.62163E-05,3.69269E-05,-7.10631E-07,0.000486827,0.00048632,5.07684E-07,-168.1787453,10075.06422,-9.87189E-07,-0.127645328,0.00236756,-40.08650021,-1267.947923,4926.486548
"MgO - Renewable, optimised transport, short distance, avoided product Aggregate",MgO - Renewable,1,50,0,Aggregate,38.23377266,7050.738747,1.399204734,7047.933686,1.405857073,258259.1066,241809.3535,16449.75312,54307.91198,0.190742045,5.967214693,71.41297038,4.20526E-05,4.08196E-05,1.23293E-06,0.000710347,0.000707737,2.61007E-06,30.61485515,909.4085882,7.41439E-05,0.022670249,0.002752987,24.10677149,1046.395344,4926.486548
